id_tabela,nome_coluna,chave,cobertura_temporal,valor
microdados,capital,31,2020-05(1)2020-11,Município de Belo Horizonte (MG)
microdados,rm_ride,32,2020-05(1)2020-11,Região Metropolitana de Grande Vitória (ES)
microdados,c007c,32,2020-05(1)2020-11,"Artista, religioso (padre, pastor etc.)"
microdados,capital,32,2020-05(1)2020-11,Município de Vitória (ES)
microdados,rm_ride,33,2020-05(1)2020-11,Região Metropolitana de Rio de Janeiro (RJ)
microdados,capital,33,2020-05(1)2020-11,Município de Rio de Janeiro (RJ)
microdados,c007c,33,2020-05(1)2020-11,"Diretor, gerente, cargo político ou comissionado"
microdados,c007c,34,2020-05(1)2020-11,"Outra profissão de nível superior (advogado, engenheiro, contador, jornalista etc.)"
microdados,rm_ride,35,2020-05(1)2020-11,Região Metropolitana de São Paulo (SP)
microdados,c007c,35,2020-05(1)2020-11,Outro técnico ou profissional de nível médio
microdados,capital,35,2020-05(1)2020-11,Município de São Paulo (SP)
microdados,c007c,36,2020-05(1)2020-11,Outros
microdados,rm_ride,41,2020-05(1)2020-11,Região Metropolitana de Curitiba (PR)
microdados,capital,41,2020-05(1)2020-11,Município de Curitiba (PR)
microdados,rm_ride,42,2020-05(1)2020-11,Região Metropolitana de Florianópolis (SC)
microdados,capital,42,2020-05(1)2020-11,Município de Florianópolis (SC)
microdados,capital,43,2020-05(1)2020-11,Município de Porto Alegre (RS)
microdados,rm_ride,43,2020-05(1)2020-11,Região Metropolitana de Porto Alegre (RS)
microdados,capital,50,2020-05(1)2020-11,Município de Campo Grande (MS)
microdados,rm_ride,51,2020-05(1)2020-11,Região Metropolitana de Vale do Rio Cuiabá (MT)
microdados,capital,51,2020-05(1)2020-11,Município de Cuiabá (MT)
microdados,rm_ride,52,2020-05(1)2020-11,Região Metropolitana de Goiânia (GO)
microdados,capital,52,2020-05(1)2020-11,Município de Goiânia (GO)
microdados,capital,53,2020-05(1)2020-11,Município de Brasília (DF)
microdados,f0022,88,2020-05(1)2020-11,Aluguel a vencer
microdados,f002a5,1,2020-05(1)2020-11,Sim
microdados,b00111,1,2020-05(1)2020-11,Sim
microdados,d0011,1,2020-05(1)2020-11,Sim
microdados,c006,1,2020-05(1)2020-11,Sim
microdados,c015,1,2020-05(1)2020-11,Sim
microdados,d0031,1,2020-05(1)2020-11,Sim
microdados,b0013,1,2020-05(1)2020-11,Sim
microdados,c002,1,2020-05(1)2020-11,Sim
microdados,b0034,1,2020-05(1)2020-11,Sim
microdados,b0015,1,2020-05(1)2020-11,Sim
microdados,d0061,1,2020-05(1)2020-11,Sim
microdados,b0011,1,2020-05(1)2020-11,Sim
microdados,b0031,1,2020-05(1)2020-11,Sim
microdados,b0041,1,2020-05(1)2020-11,Sim
microdados,b0042,1,2020-05(1)2020-11,Sim
microdados,b0046,1,2020-05(1)2020-11,Sim
microdados,e0022,1,2020-05(1)2020-11,Sim
microdados,f002a4,1,2020-05(1)2020-11,Sim
microdados,b0014,1,2020-05(1)2020-11,Sim
microdados,c001,1,2020-05(1)2020-11,Sim
microdados,e0024,1,2020-05(1)2020-11,Sim
microdados,b0043,1,2020-05(1)2020-11,Sim
microdados,c014,1,2020-05(1)2020-11,Sim
microdados,c007f,1,2020-05(1)2020-11,Sim
microdados,b0012,1,2020-05(1)2020-11,Sim
microdados,b009e,1,2020-05(1)2020-11,Sim
microdados,b0017,1,2020-05(1)2020-11,Sim
microdados,b0018,1,2020-05(1)2020-11,Sim
microdados,b0101,1,2020-05(1)2020-11,Sim
microdados,b0102,1,2020-05(1)2020-11,Sim
microdados,e0021,1,2020-05(1)2020-11,Sim
microdados,d0071,1,2020-05(1)2020-11,Sim
microdados,b009c,1,2020-05(1)2020-11,Sim
microdados,d0021,1,2020-05(1)2020-11,Sim
microdados,b00112,1,2020-05(1)2020-11,Sim
microdados,b0105,1,2020-05(1)2020-11,Sim
microdados,f002a2,1,2020-05(1)2020-11,Sim
microdados,d0051,1,2020-05(1)2020-11,Sim
microdados,b0035,1,2020-05(1)2020-11,Sim
microdados,b006,1,2020-05(1)2020-11,Sim
microdados,b0106,1,2020-05(1)2020-11,Sim
microdados,f002a3,1,2020-05(1)2020-11,Sim
microdados,b00110,1,2020-05(1)2020-11,Sim
microdados,b007,1,2020-05(1)2020-11,Sim
microdados,b0016,1,2020-05(1)2020-11,Sim
microdados,b002,1,2020-05(1)2020-11,Sim
microdados,c009a,1,2020-05(1)2020-11,Sim
microdados,b0104,1,2020-05(1)2020-11,Sim
microdados,b0032,1,2020-05(1)2020-11,Sim
microdados,c012,1,2020-05(1)2020-11,Sim
microdados,d0041,1,2020-05(1)2020-11,Sim
microdados,e0023,1,2020-05(1)2020-11,Sim
microdados,b009a,1,2020-05(1)2020-11,Sim
microdados,b00113,1,2020-05(1)2020-11,Sim
microdados,b0033,1,2020-05(1)2020-11,Sim
